"Date","Name","RepoType","RepoHost","Storepath","StorageTotal","StorageFree","FreePercentage"
"25.02.2018","FER_FR_Backup_01","Windows Local","fersrvveeam01.eu.degussanet.com","G:\FER_FR_Backup_01","10035.87","1841.38","18"
"25.02.2018","DS_WB_Backup_04","Windows Local","ds2918.eu.degussanet.com","G:\DS_WB_Backup_04","44711.86","35695.55","80"
"25.02.2018","DS_WB_Backup_01","CIFS Share","ds2918.eu.degussanet.com","\\issvm0101-cifs.eu.degussanet.com\DS_WB_Backup_01\DS_WB_Backup_01","30172.16","11826.81","39"
"25.02.2018","DS_WB_Backup_03","CIFS Share","ds2918.eu.degussanet.com","\\issvm0101-cifs.eu.degussanet.com\DS_WB_Backup_03\DS_WB_Backup_03","30720","8683.10","28"
"25.02.2018","MOS_SERVERRM_Backup_01","CIFS Share","mos01012.eu.degussanet.com","\\mos1000.eu.degussanet.com\MOS_SERVERRM_Backup_01\MOS_SERVERRM_Backup_01","800","400.27","50"
"25.02.2018","DS_WB_BackupCopy_02","Windows Local","ds2918.eu.degussanet.com","F:\DS_WB_BackupCopy_02","1117.33","1117.16","100"
"25.02.2018","WES_FR_Backup_01","Windows Local","wessrvveeam01.eu.degussanet.com","G:\WES_FR_Backup_01","44711.86","11819.45","26"
"25.02.2018","WES_FR_BackupCopy_01","Windows Local","wessrvveeam01.eu.degussanet.com","G:\WES_FR_BackupCopy_01","44711.86","11819.45","26"
"25.02.2018","DS_WB_Backup_02","CIFS Share","ds2918.eu.degussanet.com","\\isnas11b.eu.degussanet.com\DS_WB_Backup_02\DS_WB_Backup_02","18432","6723.01","36"
"25.02.2018","WTT_B201_Backup_01","Windows Local","wttvee01.eu.degussanet.com","D:\WTT_B201_Backup_01","1024.00","475.04","46"
"25.02.2018","WES_FR_BackupCopy_02","Windows Local","wessrvveeam01.eu.degussanet.com","G:\WES_FR_BackupCopy_02","44711.86","11819.45","26"
"25.02.2018","PDK_SERVERRM_Backup_01","Windows Local","pdk01005.eu.degussanet.com","D:\PDK_SERVERRM_Backup_01","799.87","616.53","77"
"25.02.2018","RFN_N297_Backup_01","Windows Local","rfn1345.eu.degussanet.com","D:\RFN_N297_Backup_01","44711.86","30725.59","69"
"25.02.2018","HEE_B1240_Backup_01","Windows Local","heevee01.eu.degussanet.com","D:\HEE_B1240_Backup_01","1331.20","255.03","19"
